[[13], [4, 5, 6], [8], [14], [9, 10], [2, 3], [7, 11], [15], [1], [12]] False
[[9], [11], [15], [3, 5, 8], [2, 4, 7], [12], [10, 14], [1], [13], [6]] True
[[5], [12, 13], [14], [9], [8], [7], [4], [2], [1], [3, 6, 10], [15], [11]] False
[[7], [9], [1, 2, 4], [13], [8, 12], [3, 6, 10], [14], [15], [5], [11]] False
[[15], [8], [3, 6, 10], [9, 14], [2, 5], [7, 12], [1], [13], [4], [11]] False
[[2], [4, 7, 11], [8, 9, 10], [12, 13, 14], [3, 5], [1], [6], [15]] False
[[1], [11, 12, 13], [7], [2, 5, 9], [3, 6, 10], [4], [14, 15], [8]] False
[[12], [1, 3, 6], [2], [8, 9, 10], [4], [13, 14, 15], [7, 11], [5]] False
[[2], [1, 3, 6], [8, 13], [4, 5], [15], [9, 10], [12], [7, 11], [14]] True
[[11], [1, 3, 6], [14], [8, 9], [2, 4], [13], [5], [10], [7, 12], [15]] False
[[4], [1, 3, 6], [5], [2], [7, 11], [9, 14], [8], [12, 13], [10], [15]] False
[[4], [3, 6, 10], [5], [7, 8], [9, 14], [1, 2], [11, 12, 13], [15]] False
[[9], [5, 6], [12], [7, 8], [11], [10, 15], [1, 3], [2, 4], [13], [14]] False
[[5], [1, 2, 4], [6], [12], [8, 9, 10], [13, 14, 15], [7, 11], [3]] False
[[7], [1], [4, 5, 6], [9], [8, 13], [10], [2, 3], [14], [11, 12], [15]] False
[[6], [11], [2, 5, 9], [14], [4, 7], [12, 13], [8], [1, 3], [10], [15]] False
[[2], [8, 9, 10], [4, 7, 11], [13, 14], [1, 3, 6], [12], [5], [15]] False
[[12], [4, 5], [3, 6], [8, 9, 10], [13, 14, 15], [2], [7, 11], [1]] False
[[1], [3, 5, 8], [12, 13, 14], [6, 10, 15], [4, 7], [9], [2], [11]] False
[[5], [3], [13, 14, 15], [8], [2, 4], [9], [6, 10], [7], [11, 12], [1]] False
[[15], [10], [1, 3, 6], [9], [4, 7], [8], [11, 12], [13], [2, 5], [14]] False
[[15], [9], [2, 4, 7], [5, 8], [3, 6], [10], [12, 13], [1], [11], [14]] False
[[8], [3, 6, 10], [5, 9], [11], [2, 4], [7, 12], [13, 14, 15], [1]] False
[[15], [1, 2, 4], [11], [8, 9], [13], [3, 6, 10], [7], [14], [5], [12]] False
[[1], [7, 8, 9], [10], [13, 14, 15], [4, 5, 6], [11, 12], [2], [3]] False
[[3], [8], [6, 10, 15], [4, 5], [1], [12, 13], [2], [9, 14], [7], [11]] False
[[3], [10], [7, 8, 9], [13], [1, 2, 4], [5, 6], [15], [11, 12], [14]] False
[[15], [1, 2, 4], [7], [11], [6, 9], [12, 13, 14], [3, 5, 8], [10]] False
[[1, 2, 4], [5, 6], [8, 9, 10], [13, 14, 15], [11], [7, 12], [3]] False
[[1], [15], [3], [6, 10], [2], [4, 5], [8, 12], [7], [9], [13, 14], [11]] False
[[15], [4, 5, 6], [7], [8], [1, 2], [11, 12, 13], [10], [9, 14], [3]] True
[[1], [7], [4, 5, 6], [8], [3], [9, 14], [10, 15], [11, 12, 13], [2]] False
[[5, 8, 12], [3, 6], [14], [4, 7], [2], [9], [10, 15], [13], [11], [1]] True
[[5, 6], [1, 2, 4], [12], [8, 9, 10], [14], [7, 11], [3], [13], [15]] False
[[15], [4], [3, 5, 8], [12, 13, 14], [2], [7, 11], [1], [9], [6], [10]] False
[[14], [9], [4, 7, 11], [6, 10, 15], [3, 5, 8], [13], [1, 2], [12]] False
[[8, 9], [4, 7, 11], [6], [12, 13], [15], [1, 2], [14], [3, 5], [10]] False
[[8], [15], [3, 6, 10], [11], [1, 2], [14], [5], [9], [13], [7, 12], [4]] True
[[3], [8], [15], [4, 5], [6, 9, 13], [2], [10, 14], [1], [7, 12], [11]] True
[[12], [15], [3, 5, 8], [9, 14], [1, 2], [4, 7], [6], [11], [10], [13]] False
[[8], [1], [3, 6, 10], [9], [13, 14], [2, 4, 7], [11], [5], [12], [15]] False
[[5], [11], [14], [6, 9], [2, 4, 7], [1], [10, 15], [13], [8, 12], [3]] True
[[5], [7], [6, 9, 13], [8], [2, 4], [3], [11, 12], [14], [10, 15], [1]] True
[[12], [5], [3, 6, 10], [1, 2, 4], [7], [14, 15], [8], [9, 13], [11]] True
[[9], [8], [4, 7, 11], [5], [1, 2], [10], [12, 13], [6], [14, 15], [3]] False
[[13], [14], [12], [4, 8], [15], [3, 5], [9], [1, 2], [6, 10], [7], [11]] False
